"gene_names","logFC","logCPM","LR","PValue","FDR","TICI1","TICI2","TICI3","TICI4","TICI5","VEH1","VEH3","VEH4","VEH5","peptide_no","percent_sequence_coverage","mol_weight","q_value","score","intensity","msms_count","protein_ids","protein_names"
"Atp5f1",-0.0417503839368171,9.37435845801437,0.108533740392886,0.741819666224556,0.999672994216681,188060,190120,211600,222180,234160,196740,232920,226500,228870,8,22.7,28.868,0,46.249,7492400000,21,"P19511","ATP synthase F(0) complex subunit B1, mitochondrial"
"Atp5h",-0.0428015112251234,10.4486784902061,0.114086687965028,0.735538621956193,0.999672994216681,318310,417910,414260,514310,544780,296680,491170,516600,571570,9,65.8,18.763,0,19.464,1.1396e+10,24,"P31399","ATP synthase subunit d, mitochondrial"
"Atp5i",0.00211479816183734,7.92381562530542,0.000278038157830451,0.986696309341572,0.999672994216681,58228,77825,71557,87259,93361,54160,81037,90654,94140,3,50.7,8.2545,0,21.162,2460400000,15,"P29419","ATP synthase subunit e, mitochondrial"
"Atp5j",-0.0384731282780503,8.31537560982122,0.0921292286372903,0.761487535164903,0.999672994216681,79593,99987,93933,115940,112360,80378,105330,118740,121230,2,28.7,12.494,0,62.22,6773700000,9,"P21571","ATP synthase-coupling factor 6, mitochondrial"
"Atp5j2",-0.0133821326512998,8.07366940779736,0.0111383169227679,0.915948740224418,0.999672994216681,83694,70641,89818,90053,94797,87360,87471,85596,94806,4,27.3,10.452,0,18.457,4740800000,14,"D3ZAF6","ATP synthase subunit f, mitochondrial"
"Atp5l",0.101582852666945,7.14445124910994,0.639407209383535,0.423925536763265,0.999672994216681,42455,41240,52868,46269,50151,47347,45066,42511,42945,4,30.1,11.433,0,13.986,1910800000,9,"Q6PDU7","ATP synthase subunit g, mitochondrial"
"Atp5o",-0.0168495316914148,11.0294636768785,0.0176699159565032,0.894250135870075,0.999672994216681,564720,624370,711920,706130,709270,590800,731130,739950,699000,11,64.8,23.397,0,97.864,1.7595e+10,44,"Q06647","ATP synthase subunit O, mitochondrial"
"Atp6v0a1",-0.204788480751592,5.94475904903006,2.61324474511827,0.105974727792608,0.999672994216681,19095,16393,18070,16751,21814,23530,20810,20641,22043,2,3.3,96.327,0,19.723,77694000,2,"P25286","V-type proton ATPase 116 kDa subunit a isoform 1"
"Atp6v1b2",-0.0423569868493211,9.82750781894125,0.111720188181607,0.73819416116576,0.999672994216681,329380,235820,301400,262850,299410,354420,295740,269390,286720,10,32.1,56.55,0,66.944,4451500000,35,"P62815","V-type proton ATPase subunit B, brain isoform"
"Atp6v1e1",-0.00353478434906543,6.18101823023091,0.000775526960978823,0.977783155253619,0.999672994216681,26939,19212,24958,20368,23944,28222,23999,20671,21951,4,16.4,26.128,0,10.078,987190000,9,"Q6PCU2","V-type proton ATPase subunit E 1"
"Atp6v1f",0.00783931060971547,4.42312424306009,0.00379099833897101,0.950904405160084,0.999672994216681,5986.1,6679.3,7424.3,6858.6,7297,6310.4,7262.4,6267.4,8295.4,3,38.7,13.37,0,16.44,69308000,3,"P50408","V-type proton ATPase subunit F"
"Atpif1",0.0663954881295296,7.99607112333582,0.273592395160676,0.60093208006519,0.999672994216681,80562,79845,72524,80110,102800,78244,75383,80045,93217,3,16.8,12.248,0,7.9658,1598800000,8,"Q03344","ATPase inhibitor, mitochondrial"
"Atxn10",-0.129650462444064,9.01932779385154,1.04860244663496,0.305829175614757,0.999672994216681,134660,144420,164110,161030,193540,142910,179900,189090,205420,7,18.1,53.726,0,27.475,2176900000,20,"Q9ER24","Ataxin-10"
"Auh",-0.0287022284140158,6.09940068391681,0.0511590175566141,0.821058631186042,0.999672994216681,15917,20504,22501,24358,25486,16246,23409,24790,26946,1,6.7,33.341,0,7.2539,705080000,3,"F1LU71","Methylglutaconyl-CoA hydratase, mitochondrial (EC 4.2.1.18) (AU-specific RNA-binding enoyl-CoA hydratase) (AU-binding enoyl-CoA hydratase) (Itaconyl-CoA hydratase) (EC 4.2.1.56)"
"Bag5",-0.0875677961491933,6.67266686974294,0.477249697760042,0.489670738662523,0.999672994216681,31278,27591,32717,32559,34214,36095,34289,32464,35290,4,17.9,51.03,0,27.542,323370000,8,"Q5QJC9","BAG family molecular chaperone regulator 5"
"Bag6",-0.0933223623416131,7.59988423999339,0.542557375297292,0.461374795467639,0.999672994216681,66624,45365,74040,53078,62017,82009,60340,56799,63238,5,7.3,120.01,0,31.892,622150000,12,"Q6MG49","Large proline-rich protein BAG6"
"Banf1",-0.0315776651239818,8.01408230295525,0.0620459097399362,0.803291037805345,0.999672994216681,66475,81940,71016,92977,95893,65144,83209,91284,105440,3,29.2,10.044,0,4.4357,2129700000,7,"Q9R1T1","Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed"
"Basp1",-0.0834103079299697,8.88961008577904,0.433567215027551,0.510243741384522,0.999672994216681,142910,130470,145390,147550,172100,152030,160700,155320,174660,6,35,21.79,0,32.11,3.528e+09,16,"Q05175","Brain acid soluble protein 1"
"Bcat1",-0.0317962114981095,5.90801055199129,0.062763768508006,0.802179841533944,0.999672994216681,18466,16772,20399,18793,20421,17475,20807,21398,20049,2,7.1,46.045,0,7.9374,422620000,4,"P54690","Branched-chain-amino-acid aminotransferase, cytosolic"
"Bcat2",0.037163013406514,5.18749835676827,0.0854218034367875,0.770080128326543,0.999672994216681,10464,10054,13227,12075,13156,12203,11830,10187,12892,2,6.9,44.275,0.0050283,1.3926,72432000,2,"O35854","Branched-chain-amino-acid aminotransferase, mitochondrial"
"Bckdha",0.0280446177186398,3.24850975220832,0.0479912492817576,0.826596258617518,0.999672994216681,2664.7,2511.4,3177.1,3191.2,3846.3,3426.5,2903,2475.1,3520.6,1,3.6,50.164,0,3.3961,72937000,1,"P11960","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"
"Bckdhb",-0.0327414347967128,8.50309460897593,0.0667186753174747,0.796175706962093,0.999672994216681,91734,108180,108900,129170,136380,98422,118490,132030,134270,5,27.2,42.823,0,35.505,1710700000,10,"P35738","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
"Bdh1",-0.0499351526499358,9.47903666877515,0.155292277129661,0.693528317311263,0.999672994216681,175460,213410,252210,225050,257440,194390,262980,236350,262860,6,26.2,38.201,0,94.41,3235800000,23,"P29147","D-beta-hydroxybutyrate dehydrogenase, mitochondrial"
"Bet1",-0.152185961487984,4.84192459889806,1.43697442784713,0.230629571935462,0.999672994216681,6963.9,8405,8726.9,9733.3,9783.5,9076.1,9929.7,9964.1,10910,1,15.3,13.23,0,4.04,65029000,1,"Q62896","BET1 homolog"
"Bin1",-0.0138589291365494,8.73895962442148,0.0119492440696547,0.912954554759116,0.999672994216681,127740,117660,133660,141720,159850,137140,136100,139500,150810,7,21.8,64.532,0,45.977,1823800000,19,"O08839","Myc box-dependent-interacting protein 1"
"Blmh",-0.0334004043346067,7.80954494330041,0.0694111037483935,0.7921961493668,0.999672994216681,71654,61429,74917,67998,78456,76210,72848,74120,74387,5,20.9,52.322,0,27.699,618820000,8,"P70645","Bleomycin hydrolase"
"Bloc1s1",-0.0279096887713019,6.17091089079758,0.0483777538966601,0.825910535431234,0.999672994216681,20398,21464,21495,22947,27878,19581,22741,25402,28160,1,23.2,14.311,0,28.555,272300000,3,"D3ZKU7","Biogenesis of lysosome-related organelles complex 1 subunit 1"
"Bloc1s6",-0.128163297571225,4.0259041857291,1.01375627299035,0.314004630970833,0.999672994216681,6163.2,3317.9,6982,4318.2,4144.7,8876.9,5094.5,3947.3,4230.4,1,11,19.702,0,3.8585,10546000,1,"Q4V8A6","Biogenesis of lysosome-related organelles complex 1 subunit 6"
"Blvra",-0.0379297682812612,6.47060946402122,0.0894132028220156,0.764924476227009,0.999672994216681,26932,25565,28115,27565,31677,31120,27746,28167,30858,3,15.9,33.565,0,10.476,179190000,7,"P46844","Biliverdin reductase A"
"Bop1",0.0448616962784109,4.68302353178534,0.124195715833856,0.72452771004643,0.999672994216681,7173,8972.3,7079.4,9721.1,8293.5,6804.9,8188.1,8479.7,9760.9,1,3.6,82.639,0,2.8888,50110000,1,"Q562C2","Ribosome biogenesis protein BOP1"
"Bpnt1",0.117033106108245,7.37029116939593,0.848464605655636,0.356987056523315,0.999672994216681,56353,43439,60670,52662,61136,56930,51202,47811,50774,3,14.9,33.174,0,20.381,703720000,7,"Q9Z1N4","3(2),5-bisphosphate nucleotidase 1"
"Bre",-0.101718075106615,3.57298935801295,0.635670408778104,0.425282967288744,0.999672994216681,3556.1,2867.2,4200.7,3800.3,4026.2,5023.8,4047.4,3694.9,3334.9,1,3.7,43.558,0,3.9455,62095000,1,"Q6P7Q1","BRCA1-A complex subunit BRE"
"Bsg",-0.0418593638987689,8.85919567919195,0.109088577547709,0.741184172566696,0.999672994216681,160530,122360,150130,137260,161190,189700,141090,135790,149670,4,15.7,42.435,0,45.493,3012700000,12,"P26453","Basigin"
"Bud31",-0.0140192685775643,6.48099366065887,0.0122079575700127,0.912021076332102,0.999672994216681,26432,23618,32795,27981,31516,28315,32978,28384,27903,1,6.9,17,0,2.8417,84815000,2,"O70454","Protein BUD31 homolog"
"Bzw1",0.0247699628436879,9.75334636498993,0.0381407911008864,0.845160700253255,0.999672994216681,244400,257280,268330,298530,320550,224390,291110,293480,315870,9,26.3,48.043,0,54.843,2635900000,24,"Q6P7P5","Basic leucine zipper and W2 domain-containing protein 1"
"Bzw2",0.0448164732970063,3.61164670043627,0.123007891324014,0.725794811872095,0.999672994216681,3416.9,3476.5,4484.5,3931.1,4517.4,3535,3874.3,3867.2,4511.8,1,5,48.049,0,7.464,43698000,2,"Q9WTT7","Basic leucine zipper and W2 domain-containing protein 2"
"C1qa",-0.00207659831692673,4.8062859784523,0.000266592065203852,0.986973001151504,0.999672994216681,10071,7146.5,8884.7,8977.8,9514.7,11355,8196.3,8394.4,8589.4,2,14.7,25.917,0,10.533,309340000,4,"P31720","Complement C1q subcomponent subunit A"
"C1qbp",-0.0188541929126676,8.50095216560585,0.0221166109354272,0.881777304924264,0.999672994216681,100320,105920,117110,123510,128200,95988,123310,133530,126710,5,35.8,30.997,0,48.401,2772600000,8,"O35796","Complement component 1 Q subcomponent-binding protein, mitochondrial"
"Calb1",-0.0542533422868813,8.58104668315149,0.183290885711358,0.668560226830111,0.999672994216681,78473,122290,136760,113250,152940,79000,151030,130740,155570,6,29.1,29.994,0,27.168,4042900000,15,"P07171","Calbindin"
"Cald1",-0.0545450000746252,9.33156917652157,0.185303119177206,0.666854884599104,0.999672994216681,179990,176630,205610,191960,262690,203410,198920,208320,254450,8,15.3,60.583,0,25.693,1.871e+09,15,"Q62736","Non-muscle caldesmon"
"Calm3",0.0202504203145676,10.5244090117789,0.0254974414909839,0.873133800013006,0.999672994216681,401250,485790,405310,514700,553850,333480,479280,540180,574650,8,73.8,16.837,0,48.188,3.1565e+10,31,"P0DP31","Calmodulin-3"
"Calr",0.151894836030035,11.7461786168254,1.42917399374227,0.231899290438828,0.999672994216681,1125200,1087100,1054600,1205100,1249400,967820,1066600,1067900,1146500,20,59.4,47.995,0,152.27,4.7179e+10,102,"P18418","Calreticulin"
"Calu",0.095558611626651,8.101706745305,0.566268841284398,0.451745400544142,0.999672994216681,77198,88099,88873,94208,102600,77938,86649,87778,95288,4,21.3,36.996,0,26.072,2900300000,11,"O35783","Calumenin"
"Camk2b",-0.0985213677265225,5.33851642377525,0.602648315261845,0.437569354134874,0.999672994216681,12040,11296,12010,13583,13605,12301,13314,14401,15161,4,11.8,60.401,0,6.8249,283870000,4,"P08413","Calcium/calmodulin-dependent protein kinase type II subunit beta"
"Camk2d",-0.0605979892224219,9.14998509722468,0.228735943197535,0.632462695609106,0.999672994216681,162010,160520,172870,193440,201450,152050,194190,199240,219910,5,14.8,60.08,0,33.879,1531100000,13,"P15791","Calcium/calmodulin-dependent protein kinase type II subunit delta"
"Camk2g",0.0109169600358402,7.92117906782403,0.00740746817837135,0.931413434960845,0.999672994216681,59493,77997,77333,86145,86897,59972,87021,79637,91284,5,13.9,59.037,0,12.637,676160000,9,"P11730","Calcium/calmodulin-dependent protein kinase type II subunit gamma"
"Cand1",0.0365263502136031,10.7404240538076,0.0829199548912527,0.773378695766408,0.999672994216681,488700,513000,564350,567660,629020,491410,559360,569440,595070,25,27.4,136.36,0,159.58,9099700000,74,"P97536","Cullin-associated NEDD8-dissociated protein 1"
"Canx",0.0574869799879931,10.1044390550794,0.205262411314834,0.650506294177011,0.999672994216681,370440,305370,384400,367380,356700,408480,367750,308330,321010,14,19.8,67.254,0,54.632,1.7103e+10,39,"P35565","Calnexin"
"Capg",0.0316216865980887,10.2669519116105,0.0621520790446084,0.803126266276544,0.999672994216681,711970,267800,314790,306760,365640,644090,287280,315650,331680,7,26.9,38.798,0,72.471,3492700000,19,"Q6AYC4","Macrophage-capping protein"
"Capn2",0.0804692704211369,9.36676198900294,0.40188362536469,0.526118074231011,0.999672994216681,195270,206030,210520,227000,239490,172130,209880,221220,238620,10,22.7,79.918,0,108.89,6585600000,22,"Q07009","Calpain-2 catalytic subunit"
"Capns1",0.0102809423258315,7.77556800306685,0.00656908679161461,0.935402266083125,0.999672994216681,69001,58317,71933,70915,81633,71487,68749,70561,75372,4,42.2,28.57,0,41.23,3528800000,15,"Q64537","Calpain small subunit 1"
"Capza1",-0.0327144650044014,7.59763174222482,0.0665798963282214,0.796383133055905,0.999672994216681,64408,56105,59177,57147,68624,62528,61825,59259,74108,4,25.9,32.909,0,20.152,940410000,7,"B2GUZ5","F-actin-capping protein subunit alpha-1"
"Capza2",0.0341218467725012,8.73256181036776,0.072343877853001,0.787954175022787,0.999672994216681,138300,124410,128300,138030,156510,126630,137070,136130,151560,4,25.2,32.967,0,33.526,6086400000,13,"Q3T1K5","F-actin-capping protein subunit alpha-2"
"Capzb",0.0658184120204994,9.85726567856144,0.268998880353024,0.604004123643395,0.999672994216681,317700,279320,288630,284350,336960,297890,286920,285370,315460,11,50,30.628,0,50,8504600000,29,"Q5XI32","F-actin-capping protein subunit beta"
"Carhsp1",0.0639744860410058,7.93321836097166,0.254012879005131,0.614263552765201,0.999672994216681,101350,52820,94659,64525,85543,105390,69690,61550,74207,2,29.9,15.906,0,52.453,2234300000,7,"Q9WU49","Calcium-regulated heat stable protein 1"
"Carkd",-0.050184749892046,6.48492878211055,0.156576418225654,0.692328286969708,0.999672994216681,23011,25339,26857,32141,33860,21820,29304,30328,39170,2,11.7,36.518,0,12.086,261480000,4,"D4AAT7","ATP-dependent (S)-NAD(P)H-hydrate dehydratase"
"Carm1",-0.0891870576241336,6.23801093492813,0.494775788354843,0.481804633962313,0.999672994216681,22306,21952,24428,21295,27171,24080,25763,25737,26850,1,2.8,70.34,0,3.6164,273630000,3,"Q4AE70","Histone-arginine methyltransferase CARM1"
"Cask",-0.0692780679129879,5.90405495471575,0.298219219852854,0.585000969612812,0.999672994216681,15393,18189,16876,20311,22886,15467,21155,21399,22917,3,5.2,103.26,0,7.0903,588850000,5,"Q62915","Peripheral plasma membrane protein CASK"
"Casp3",-0.0924042346668471,5.39190037208759,0.530150582864451,0.466543558209109,0.999672994216681,13898,10127,14084,12509,14648,14731,13916,13454,14882,1,7.6,31.491,0,3.5874,265990000,3,"P55213","Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12"
"Cast",0.11758439606759,6.37852925509788,0.855534031897832,0.35499148637096,0.999672994216681,33046,25215,26423,22615,29625,31477,20676,24981,26744,1,1.8,77.312,0.0031686,1.569,284490000,2,"P27321","Calpastatin"
"Cat",-0.0517789759775543,9.5614502104584,0.166981778820173,0.682808245875701,0.999672994216681,208490,206900,243270,251500,280450,228560,245410,249360,289990,13,30.4,59.756,0,64.156,6558300000,35,"P04762","Catalase"
"Cblb",-0.0884525555457968,5.23344331019744,0.485488071262751,0.48594690589369,0.999672994216681,12925,10186,9945.1,11705,13586,13253,11804,13337,12521,1,1.4,104.65,0,2.234,95491000,3,"Q8K4S7","E3 ubiquitin-protein ligase CBL-B"
"Cbr1",-0.0449704348402258,8.13294995379928,0.125884193810407,0.722738210161166,0.999672994216681,86095,80909,87680,85347,101780,91975,87413,90350,105270,7,37.2,30.578,0,41.712,1894900000,12,"P47727","Carbonyl reductase [NADPH] 1"
"Ccdc132",0.0695193342828081,4.53913865284034,0.297826869591098,0.585247996505697,0.999672994216681,6166.1,7378.8,7551.1,7924.6,8902.3,5195.9,8193.5,7514.4,8939.9,1,1.9,111.19,0,6.9826,44552000,1,"F1LSG8","Syndetin (Coiled-coil domain-containing protein 132) (EARP/GARPII complex subunit VPS50)"
"Ccdc47",-0.0018867285364908,6.5723713850217,0.000221070792164824,0.988137130747711,0.999672994216681,25401,28508,30671,32716,34625,27100,32784,31812,33389,2,6.4,55.732,0,9.8857,448610000,6,"Q5U2X6","Coiled-coil domain-containing protein 47"
"Cct2",-0.0207432664804668,11.1775155619701,0.0267829820309089,0.870002689273676,0.999672994216681,706300,670280,706030,746660,843910,740700,729620,766710,826760,30,66.7,57.458,0,234.87,2.5899e+10,92,"Q5XIM9","T-complex protein 1 subunit beta"
"Cct3",-0.00251242952188128,10.6462774882945,0.000392715453017445,0.984189316977061,0.999672994216681,492850,438270,513420,520690,596470,506690,524670,525220,547280,21,49,60.646,0,101.08,1.8031e+10,59,"Q6P502","T-complex protein 1 subunit gamma"
"Cct4",-0.0231715902585407,10.7172860634387,0.0334218007933487,0.85494215592444,0.999672994216681,522460,457830,536980,538460,616870,546930,533680,559940,587090,16,41,58.099,0,91.929,1.2379e+10,49,"Q7TPB1","T-complex protein 1 subunit delta"
"Cct5",0.01576094352646,11.0007500933773,0.0154475367762643,0.901087153223097,0.999672994216681,602950,601040,632710,694800,756690,615820,638110,693200,727280,28,66.5,59.536,0,163.04,2.587e+10,84,"Q68FQ0","T-complex protein 1 subunit epsilon"
"Cd151",-0.0161068985585986,7.34810020367424,0.016129997266944,0.898937291068016,0.999672994216681,43286,49527,48494,53371,64717,43858,54119,55096,62762,2,5.9,28.355,0,2.7319,795560000,5,"Q9QZA6","CD151 antigen"
"Cd81",-0.162395734311213,6.53585181634241,1.64364577684847,0.199825986080766,0.999672994216681,19549,29662,24213,31966,35422,20611,32095,37673,39851,2,15.3,25.888,0,8.9584,488490000,3,"Q62745","CD81 antigen"
"Cd9",-0.0481409658160512,8.54485321516455,0.144294257692763,0.704048717501452,0.999672994216681,96023,111830,114320,121030,145680,96417,130610,129280,144700,3,15.5,25.215,0,29.492,2286200000,11,"P40241","CD9 antigen"
"Cdc37",0.00980660173864269,5.78323410047272,0.00596236815295015,0.938451417311389,0.999672994216681,19177,14759,18997,15590,19673,20668,17267,16263,17513,2,8.2,44.51,0,4.7792,148420000,2,"Q63692","Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed"
"Cdc42",0.0295291411596073,8.95428398675533,0.0541898676353867,0.815926674259081,0.999672994216681,143550,161180,144830,168210,178740,140720,160310,166890,176480,5,31.4,21.258,0,18.793,6240800000,14,"Q8CFN2","Cell division control protein 42 homolog"
"Cdc5l",-0.0546598112412226,3.49269676421652,0.183216175009562,0.66862375607756,0.999672994216681,3113.2,2921.4,3303.2,3971.8,4446.8,3715.2,3133.8,4370.9,3833.6,3,5.6,92.216,0,13.147,904360000,3,"O08837","Cell division cycle 5-like protein"
"Cdh2",-0.0618070612089625,6.49172975626091,0.237564018128353,0.625971071756302,0.999672994216681,22859,25469,29499,29128,34539,24191,33007,28442,35723,2,3,99.685,0,6.2324,451010000,3,"Q9Z1Y3","Cadherin-2"
"Cdk5rap3",-0.0204826425572585,6.98741860605,0.0260791235115931,0.871707234674571,0.999672994216681,37125,34831,44688,39478,45561,39560,43740,42055,42300,2,4.2,57.044,0,12.86,317040000,4,"Q9JLH7","CDK5 regulatory subunit-associated protein 3"
"Cdo1",-0.0528946283087762,6.02163179970127,0.173820018522761,0.676738913590605,0.999672994216681,20469,17724,19457,20834,23599,20763,22038,22596,21456,2,21,23.026,0,20.111,912930000,6,"P21816","Cysteine dioxygenase type 1"
"Cds2",0.00811567109691529,5.47528393782472,0.00408050151668249,0.949066730283066,0.999672994216681,12615,12670,15426,15927,14472,14145,15442,14592,13876,1,3.8,51.322,0,3.2415,268220000,3,"Q91XU8","Phosphatidate cytidylyltransferase 2"
"Cdv3",0.166159887257287,8.59947979328937,1.70873508397551,0.191149569160733,0.999672994216681,127190,111260,130490,130780,152240,124230,115410,111220,125200,6,39,24.31,0,51.778,2495700000,14,"Q5XIM5","Protein CDV3 homolog"
"Cdx1",0.0792589935137119,7.74174711600197,0.389677356218095,0.532469045750112,0.999672994216681,68001,60725,72109,71504,77833,71884,64800,64331,70871,1,9.8,14.3,0.0031566,1.5086,824020000,3,"Q05095","Homeobox protein CDX-1"
"Celf1",0.148290246100308,6.6439594004994,1.35992005212368,0.243551337732807,0.999672994216681,30689,28101,38367,33553,36520,29916,31118,30424,32249,3,13.3,52.205,0,30.117,536760000,9,"Q4QQT3","CUGBP Elav-like family member 1"
"Celf2",-0.123771355624541,8.8937950784703,0.955511290928825,0.328320401862188,0.999672994216681,162610,115770,161410,134780,155880,191170,153770,146080,160470,6,12.2,54.27,0,19.63,1978200000,12,"Q792H5","CUGBP Elav-like family member 2"
"Cfap36",0.0700181487870352,3.76067765345201,0.300455730849748,0.583596859450471,0.999672994216681,4234.4,3376.6,5288.8,4466.9,4813.3,4614.6,4253.8,3872.5,4533,1,4.4,39.59,0,3.1181,42908000,1,"Q4V8E4","Cilia- and flagella-associated protein 36"
"Cfl1",0.0652006625077627,12.0286851708322,0.264017663096638,0.607373304802148,0.999672994216681,1262500,1398800,1194800,1380900,1540000,1108500,1314100,1413000,1524200,15,77.7,18.532,0,87.445,9.2201e+10,84,"P45592","Cofilin-1"
"Chchd6",-0.18437919096318,4.39308544937768,2.10568726632248,0.146752394864894,0.999672994216681,6521.1,4889,7419.3,6329.4,6496.8,9334.2,6184.3,7268.7,6546.1,1,3.8,29.211,0,2.4638,569560000,4,"D4A7N1","MICOS complex subunit Mic25"
"Chd5",0.0323364702248126,3.45297900535525,0.0639462827065813,0.800364018755615,0.999672994216681,4091.5,2610.7,4363.1,3064.4,3521.1,5058.5,3444.8,2457.7,3102.9,2,1.3,222.26,0.0031646,1.5425,32185000,2,"D3ZD32","Chromodomain-helicase-DNA-binding protein 5"
"Chid1",0.0377417978078838,5.28195737444522,0.0881295452142865,0.766568656178212,0.999672994216681,11879,11094,12659,13508,13662,10133,13432,12633,14251,1,3.1,44.874,0,2.6186,26710000,1,"A0JPQ9","Chitinase domain-containing protein 1"
"Chmp3",0.0225525211262093,4.80392623043805,0.0314235184341669,0.859298827421338,0.999672994216681,9849.3,7386.5,9048.6,8151.2,10526,9051.4,9170.7,9347.7,8667.5,1,5.4,25.062,0,4.0756,71516000,1,"Q8CGS4","Charged multivesicular body protein 3"
"Cirbp",-0.147095065802202,8.91893404947945,1.35021138098909,0.245241166301384,0.999672994216681,116230,122110,157600,157090,190570,119170,190020,170330,194740,3,26.7,18.607,0,26.846,1511600000,12,"P60825","Cold-inducible RNA-binding protein"
"Cisd1",0.123244160360282,7.36174531541143,0.940729899781275,0.332090200784128,0.999672994216681,54486,42537,60712,55351,60183,49451,52587,50693,52734,3,30.6,12.097,0,7.8824,2014600000,7,"B0K020","CDGSH iron-sulfur domain-containing protein 1"
"Ckb",0.060173765983163,13.6582161918492,0.2249144789821,0.635320577215452,0.999672994216681,3501800,4467700,4074100,4279700,4609700,3388700,4243400,4331700,4649800,26,73.8,42.725,0,323.31,4.49e+11,381,"P07335","Creatine kinase B-type"
"Ckmt1;Ckmt2",-0.00840386898601463,7.19608616163494,0.00438964136105824,0.947175311923552,0.999672994216681,46673,42008,52794,42326,49302,49838,51396,45098,46155,1,3.8,47.028,0,16.517,369280000,5,"P25809;P09605","Creatine kinase U-type, mitochondrial;Creatine kinase S-type, mitochondrial"
"Clasp2",0.0663615305423131,6.50940165313863,0.272965848694028,0.60134915914142,0.999672994216681,28705,25707,31834,29939,32233,28405,30046,27527,30444,3,2.9,140.64,0,10.818,505960000,4,"Q99JD4","CLIP-associating protein 2"
"Clcn3",-0.0629818837711399,3.70316286108837,0.243819177039768,0.621461209819734,0.999672994216681,2884.2,3872.4,4584.1,4517.6,4559.9,3698.3,4499.6,4694.5,4622.7,1,3.1,90.854,0.0087391,1.1812,68964000,1,"P51792","H(+)/Cl(-) exchange transporter 3"
"Clic1",0.174810844028645,10.644009870962,1.89143283460362,0.169040400618915,0.999672994216681,562810,493560,501140,509230,620450,517300,437640,493690,507510,12,63.5,26.98,0,111.28,9474500000,39,"Q6MG61","Chloride intracellular channel protein 1"
"Clip2",0.0328348803172812,7.114668121669,0.0669333895257296,0.795855237191716,0.999672994216681,46740,35958,50676,42502,47802,44582,46641,41893,46250,3,3.1,115.48,0,2.3651,876240000,4,"O55156","CAP-Gly domain-containing linker protein 2"
"Clpb",0.189359428899958,3.58566753326625,2.18555905665262,0.139310471670702,0.999672994216681,3846.7,4564.1,3532.8,3685.4,4482.9,2697.6,2997.6,4871.5,4085.8,1,2.5,75.701,0,6.8163,33033000,1,"Q9WTT2","Caseinolytic peptidase B protein homolog"
"Clta",0.0829524631451398,7.49313030743316,0.426728176554207,0.513598764781909,0.999672994216681,63562,53828,55228,57000,64400,55208,54342,57394,61966,5,16.5,26.98,0,4.9515,2972800000,10,"P08081","Clathrin light chain A"
"Cltc",0.0341986992602403,12.7157661972826,0.0726987692823968,0.787447154834466,0.999672994216681,2304600,1885000,2201500,2047800,2404200,2269000,2106200,2049100,2275200,53,47.8,191.6,0,323.31,4.8415e+10,177,"P11442","Clathrin heavy chain 1"
"Clu",0.0920726244832779,5.67183395295756,0.524255910041347,0.469031856565994,0.999672994216681,15342,15225,15453,17242,20590,14157,14795,17353,18353,1,3.4,51.375,0,5.0919,201450000,2,"P05371","Clusterin;Clusterin beta chain;Clusterin alpha chain"
"Cmpk1",0.18509668750588,5.66883608880785,2.11256179443592,0.146094567652697,0.999672994216681,19218,15787,16360,16627,17323,16598,13868,14257,17283,2,11.7,22.169,0,10.04,655190000,7,"Q4KM73","UMP-CMP kinase"
"Cnbp",0.0476982467420916,8.61784556408047,0.141307624902439,0.706984501314506,0.999672994216681,122110,106500,139110,127440,142460,122940,125550,125430,131800,5,33.9,19.463,0,29.188,4.076e+09,14,"P62634","Cellular nucleic acid-binding protein"
"Cndp2",0.141260499354912,10.8394053732177,1.23641779246384,0.266162551092034,0.999672994216681,920680,432330,604250,516870,558180,711560,541910,496750,509700,16,52.8,52.693,0,158.61,9277400000,51,"Q6Q0N1","Cytosolic non-specific dipeptidase"
"Cnp",0.108202839362281,8.84990919942462,0.725960015621013,0.394195847338124,0.999672994216681,145500,128520,166230,158960,162270,129300,159050,148140,143450,7,18.6,47.268,0,30.282,2141600000,16,"P13233","2,3-cyclic-nucleotide 3-phosphodiesterase"
"Cnrip1",-0.110748894569015,4.62904491496955,0.759597049755428,0.383454654310553,0.999672994216681,6074.6,7346.5,8265,7580.6,8930.5,7076.4,9467.6,8256.2,9102.4,1,13.4,18.658,0,7.1617,49588000,1,"Q5M7A7","CB1 cannabinoid receptor-interacting protein 1"
"Comt",-0.109394100458767,9.76025972882674,0.746320709426072,0.387643621942426,0.999672994216681,368420,198350,261190,240430,263800,418860,245050,244310,268420,6,38.3,29.597,0,79.914,3239900000,21,"P22734","Catechol O-methyltransferase"
"Copb1",0.063090054591276,9.60654212414827,0.247169616564179,0.619075126424281,0.999672994216681,240030,230020,253150,247460,299340,232570,243120,251790,271290,9,12.9,107.01,0,54.799,3245900000,29,"P23514","Coatomer subunit beta"
