TICI1,TICI2,TICI3,TICI4,TICI5,VEH1,VEH3,VEH4,VEH5,peptide_no,percent_sequence_coverage,mol_weight,q_value,score,intensity,msms_count,protein_ids,protein_names,gene_names
208490,206900,243270,251500,280450,228560,245410,249360,289990,13,30.4,59.756,0,64.156,6558300000,35,P04762,Catalase,Cat
368420,198350,261190,240430,263800,418860,245050,244310,268420,6,38.3,29.597,0,79.914,3239900000,21,P22734,Catechol O-methyltransferase,Comt
167850,145030,202100,164410,209320,191850,203210,173770,201700,16,27.1,85.454,0,105.07,5695500000,37,Q9WU82,Catenin beta-1,Ctnnb1
9899,7115.9,10558,8177,9440,12161,9137.3,7941,8347.7,2,9.1,28.928,0,3.7117,54106000,2,O35116,Catenin delta-2,Ctnnd2
990240,663210,843430,730280,795090,1097900,914790,770030,821620,11,47.5,37.47,0,219.01,25866000000,52,P00787,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,Ctsb
1941900,604860,1391000,714200,988480,2265700,1478700,863580,1173700,11,35.9,44.68,0,110.93,29651000000,58,P24268,Cathepsin D;Cathepsin D 12 kDa light chain;Cathepsin D 9 kDa light chain;Cathepsin D 34 kDa heavy chain;Cathepsin D 30 kDa heavy chain,Ctsd
102960,122580,116480,126670,146110,109520,117850,127140,142490,4,20.4,37.66,0,61.272,2984400000,11,P07154,Cathepsin L1;Procathepsin L;Cathepsin L1 heavy chain;Cathepsin L1 light chain,Ctsl
85916,28941,39653,35009,35053,53842,33270,25741,28303,1,3.9,36.833,0.00064185,1.7767,236520000,4,Q02765,Cathepsin S,Ctss
256920,99894,148280,112100,127990,290170,133060,109760,133080,6,34.6,34.194,0,42.585,4642600000,18,Q9R1T3,Cathepsin Z,Ctsz
143860,112410,136470,120850,139690,154590,136270,123780,145820,2,16.2,31.095,0,38.538,658760000,8,Q6AY20,Cation-dependent mannose-6-phosphate receptor,M6pr
6074.6,7346.5,8265,7580.6,8930.5,7076.4,9467.6,8256.2,9102.4,1,13.4,18.658,0,7.1617,49588000,1,Q5M7A7,CB1 cannabinoid receptor-interacting protein 1,Cnrip1
29927,58473,41075,62812,57121,19232,17663,18082,20991,1,12.4,10.906,0,2.6932,74486000,2,Q9QXY8,C-C motif chemokine 7,Ccl7
43286,49527,48494,53371,64717,43858,54119,55096,62762,2,5.9,28.355,0,2.7319,795560000,5,Q9QZA6,CD151 antigen,Cd151
87254,126490,112960,142500,130470,79142,87049,92210,102040,4,10.9,55.945,0,30.443,5633400000,12,P26051,CD44 antigen,Cd44
19549,29662,24213,31966,35422,20611,32095,37673,39851,2,15.3,25.888,0,8.9584,488490000,3,Q62745,CD81 antigen,Cd81
96023,111830,114320,121030,145680,96417,130610,129280,144700,3,15.5,25.215,0,29.492,2286200000,11,P40241,CD9 antigen,Cd9
37125,34831,44688,39478,45561,39560,43740,42055,42300,2,4.2,57.044,0,12.86,317040000,4,Q9JLH7,CDK5 regulatory subunit-associated protein 3,Cdk5rap3
32227,29958,41525,37672,40849,39100,53327,51258,57491,1,4.4,42.781,0,25.034,204850000,3,Q1WIM1,Cell adhesion molecule 4,Cadm4
143550,161180,144830,168210,178740,140720,160310,166890,176480,5,31.4,21.258,0,18.793,6240800000,14,Q8CFN2,Cell division control protein 42 homolog,Cdc42
3113.2,2921.4,3303.2,3971.8,4446.8,3715.2,3133.8,4370.9,3833.6,3,5.6,92.216,0,13.147,904360000,3,O08837,Cell division cycle 5-like protein,Cdc5l
122110,106500,139110,127440,142460,122940,125550,125430,131800,5,33.9,19.463,0,29.188,4076000000,14,P62634,Cellular nucleic acid-binding protein,Cnbp
14559,7382.5,13890,9299.4,10145,17910,11552,8911.4,11197,1,2.1,87.966,0,27.535,155610000,4,Q4V8C2,Centromere/kinetochore protein zw10 homolog,Zw10
643360,441210,510280,437510,568730,724100,392480,416320,491430,17,19.6,120.84,0,110.2,9012500000,55,P13635,Ceruloplasmin,Cp
9849.3,7386.5,9048.6,8151.2,10526,9051.4,9170.7,9347.7,8667.5,1,5.4,25.062,0,4.0756,71516000,1,Q8CGS4,Charged multivesicular body protein 3,Chmp3
28675,34377,30191,41094,39471,20776,29683,32239,35619,2,16.9,24.575,0,31.128,589050000,7,Q4QQV8,Charged multivesicular body protein 5,Chmp5
562810,493560,501140,509230,620450,517300,437640,493690,507510,12,63.5,26.98,0,111.28,9474500000,39,Q6MG61,Chloride intracellular channel protein 1,Clic1
478430,732010,597570,676510,778970,257500,286960,321410,363680,9,38.7,28.633,0,68.684,7040100000,48,Q9Z0W7,Chloride intracellular channel protein 4,Clic4
2928.8,2338.5,2726.1,2992.1,3266.1,2968.9,3369.5,2744.9,4483.7,1,4.4,41.68,0,3.0267,44397000,1,P19836;Q9QZC4,Choline-phosphate cytidylyltransferase A;Choline-phosphate cytidylyltransferase B,Pcyt1a;Pcyt1b
4091.5,2610.7,4363.1,3064.4,3521.1,5058.5,3444.8,2457.7,3102.9,2,1.3,222.26,0.0031646,1.5425,32185000,2,D3ZD32,Chromodomain-helicase-DNA-binding protein 5,Chd5
0,0,0,0,0,0,0,0,0,1,5.5,19.132,0.0099502,1.1189,0,1,Q499T7,Cilia- and flagella-associated protein 20,Cfap20
4234.4,3376.6,5288.8,4466.9,4813.3,4614.6,4253.8,3872.5,4533,1,4.4,39.59,0,3.1181,42908000,1,Q4V8E4,Cilia- and flagella-associated protein 36,Cfap36
12793,8841.8,19676,13707,14937,17743,18646,15404,17270,1,3,40.822,1,-2,148540000,1,Q08406,Ciliary neurotrophic factor receptor subunit alpha,Cntfr
459850,486720,549280,577890,595700,477590,535530,568620,563280,17,38,51.866,0,151.52,50868000000,86,Q8VHF5,"Citrate synthase, mitochondrial",Cs
2304600,1885000,2201500,2047800,2404200,2269000,2106200,2049100,2275200,53,47.8,191.6,0,323.31,48415000000,177,P11442,Clathrin heavy chain 1,Cltc
63562,53828,55228,57000,64400,55208,54342,57394,61966,5,16.5,26.98,0,4.9515,2972800000,10,P08081,Clathrin light chain A,Clta
17991,15820,19919,18441,21251,18578,18552,18116,20205,2,6.6,26.24,0,2.3779,520510000,4,Q4KM65,Cleavage and polyadenylation specificity factor subunit 5,Nudt21
28705,25707,31834,29939,32233,28405,30046,27527,30444,3,2.9,140.64,0,10.818,505960000,4,Q99JD4,CLIP-associating protein 2,Clasp2
15342,15225,15453,17242,20590,14157,14795,17353,18353,1,3.4,51.375,0,5.0919,201450000,2,P05371,Clusterin;Clusterin beta chain;Clusterin alpha chain,Clu
145980,150320,154290,168800,186910,131800,160070,162720,183780,7,14,102.55,0,46.012,2122400000,14,O35142,Coatomer subunit beta,Copb2
240030,230020,253150,247460,299340,232570,243120,251790,271290,9,12.9,107.01,0,54.799,3245900000,29,P23514,Coatomer subunit beta,Copb1
293510,271370,307070,289530,352810,300650,288100,292030,318300,10,24.1,57.199,0,34.464,1869100000,23,Q66H80,Coatomer subunit delta,Arcn1
326270,289280,333520,319160,389460,308410,311700,310650,352610,10,17.3,97.613,0,123.99,1690900000,28,Q4AEF8,Coatomer subunit gamma-1,Copg1
103460,91818,102510,101150,119290,92804,98383,100030,111670,7,16.6,80.488,0,22.326,792040000,12,D4ABY2,Coatomer subunit gamma-2,Copg2
1262500,1398800,1194800,1380900,1540000,1108500,1314100,1413000,1524200,15,77.7,18.532,0,87.445,92201000000,84,P45592,Cofilin-1,Cfl1
25401,28508,30671,32716,34625,27100,32784,31812,33389,2,6.4,55.732,0,9.8857,448610000,6,Q5U2X6,Coiled-coil domain-containing protein 47,Ccdc47
116230,122110,157600,157090,190570,119170,190020,170330,194740,3,26.7,18.607,0,26.846,1511600000,12,P60825,Cold-inducible RNA-binding protein,Cirbp
142550,80393,144440,99125,120640,200970,121700,111980,122870,1,10.8,21.932,0,7.2536,431970000,5,Q6P9U3,COMM domain-containing protein 3,Commd3
0,0,0,0,0,0,0,0,0,1,7.6,24.453,0,17.387,0,1,Q9ERR2,COMM domain-containing protein 5,Commd5
10071,7146.5,8884.7,8977.8,9514.7,11355,8196.3,8394.4,8589.4,2,14.7,25.917,0,10.533,309340000,4,P31720,Complement C1q subcomponent subunit A,C1qa
100320,105920,117110,123510,128200,95988,123310,133530,126710,5,35.8,30.997,0,48.401,2772600000,8,O35796,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1qbp
83355,66502,84223,74769,95642,80372,75983,76454,90059,2,5.7,61.68,0,5.3377,345520000,4,Q63135,Complement component receptor 1-like protein,Cr1l
38778,27609,37282,34782,39212,42411,55744,49365,56609,2,28.4,15.394,0,12.037,718020000,4,P84087,Complexin-2,Cplx2
51643,46689,52749,49339,59698,46834,49897,50834,56619,2,4.7,51.596,0,5.8323,449490000,7,P61203,COP9 signalosome complex subunit 2,Cops2
72568,65985,74388,74792,88302,74029,75059,74105,82220,2,7.8,47.859,0,15.07,448830000,5,Q68FW9,COP9 signalosome complex subunit 3,Cops3
22108,20950,26113,24198,26959,23894,24670,23468,26756,2,6.9,46.289,0,4.4658,435010000,4,Q68FS2,COP9 signalosome complex subunit 4,Cops4
68345,52811,72901,59095,68193,83537,61129,60765,65198,4,42.6,23.235,0,63.934,953500000,9,Q6P4Z9,COP9 signalosome complex subunit 8,Cops8
78862,58862,67609,60015,76835,78876,70811,65345,75420,2,30.9,7.2924,0,8.7935,1456400000,7,Q9WUC4,Copper transport protein ATOX1,Atox1
228680,205650,262420,268210,263940,239530,290880,274040,275010,10,32.9,39.503,0,48.062,7236500000,23,Q02874,Core histone macro-H2A.1,H2afy
403520,112080,154460,122910,133910,424260,146170,129720,136880,7,25.4,51.065,0,40.675,2844400000,16,Q91ZN1,Coronin-1A,Coro1a
156620,124490,143530,128820,153260,131790,117890,115540,128420,7,15.1,53.845,0,29.482,2402900000,15,O89046,Coronin-1B,Coro1b
81199,64968,75388,70095,80075,76798,72970,69231,81385,4,10.2,100.78,0,32.737,1507900000,13,O35828,Coronin-7,Coro7
3501800,4467700,4074100,4279700,4609700,3388700,4243400,4331700,4649800,26,73.8,42.725,0,323.31,4.49E+11,381,P07335,Creatine kinase B-type,Ckb
46673,42008,52794,42326,49302,49838,51396,45098,46155,1,3.8,47.028,0,16.517,369280000,5,P25809;P09605,"Creatine kinase U-type, mitochondrial;Creatine kinase S-type, mitochondrial",Ckmt1;Ckmt2
27481,25841,34483,30432,33408,33219,31288,32623,34574,2,6.6,33.865,0,3.6046,810180000,6,Q5U2U2,Crk-like protein,Crkl
167460,147740,208740,181290,212930,193840,198890,187870,205910,7,23.3,46.628,0,31.833,2576100000,18,Q9Z2F5,C-terminal-binding protein 1,Ctbp1
20931,18291,22770,19864,22865,21614,18869,19372,22079,1,2.7,65.673,0,4.396,59735000,2,Q5U2N0,CTP synthase 2,Ctps2
41694,48723,59250,43434,59327,38087,48028,41102,50524,4,5.5,167.02,0,33.649,781390000,9,Q4TU93,C-type mannose receptor 2,Mrc2
30689,28101,38367,33553,36520,29916,31118,30424,32249,3,13.3,52.205,0,30.117,536760000,9,Q4QQT3,CUGBP Elav-like family member 1,Celf1
162610,115770,161410,134780,155880,191170,153770,146080,160470,6,12.2,54.27,0,19.63,1978200000,12,Q792H5,CUGBP Elav-like family member 2,Celf2
4590.2,4566.5,5219.2,5319.3,7181.6,4707.3,6029.5,5996.5,6192.1,1,1.9,90.889,0,2.6337,29446000,1,Q9JJ31,Cullin-5,Cul5
11068,12717,14545,14595,18514,13610,16736,17427,18349,1,0.8,192.66,0,3.7622,131540000,3,D3ZEF4,Cullin-7,Cul7
488700,513000,564350,567660,629020,491410,559360,569440,595070,25,27.4,136.36,0,159.58,9099700000,74,P97536,Cullin-associated NEDD8-dissociated protein 1,Cand1
16909,13992,17633,15018,18770,13036,14296,13811,15057,2,2.9,143.7,0,12.741,240720000,4,P97874,Cyclin-G-associated kinase,Gak
0,0,0,0,0,0,0,0,0,1,1.4,61.454,0.0019096,1.6666,0,3,P32232,Cystathionine beta-synthase,Cbs
94469,62106,72788,66674,70490,92557,71667,67639,67284,3,21.4,11.196,0,8.6957,1519500000,7,P01041,Cystatin-B,Cstb
147860,151170,162410,190120,193630,181330,177830,216480,225160,5,40.7,15.437,0,38.911,4083900000,24,P14841,Cystatin-C,Cst3
207900,179110,241990,193260,245970,191040,225170,201200,229120,7,42.5,20.613,0,44.124,4108800000,16,P47875,Cysteine and glycine-rich protein 1,Csrp1
1997.9,1761.1,2168.1,1696.6,1973.1,2292.2,1850.7,1431.5,2148.1,1,4.2,50.012,0,2.8241,83739000,1,Q99P39,"Cysteine desulfurase, mitochondrial",Nfs1
20469,17724,19457,20834,23599,20763,22038,22596,21456,2,21,23.026,0,20.111,912930000,6,P21816,Cysteine dioxygenase type 1,Cdo1
115790,88813,131640,100730,129540,123470,122200,106400,126290,4,25.5,22.696,0,12.947,1735800000,10,P36201,Cysteine-rich protein 2,Crip2
47296,31822,44980,39171,42712,48163,39981,37322,35944,1,3.4,38.25,0,3.6733,143580000,2,Q4G063,Cysteine-rich with EGF-like domain protein 2,Creld2
23789,28547,30120,32985,34452,25189,31347,31736,32487,3,31.3,15.355,0,9.7762,364670000,3,P00173,Cytochrome b5,Cyb5a
10036,12559,12846,14882,14696,11577,14611,13565,13933,2,33.6,16.265,0,7.6477,264620000,2,P04166,Cytochrome b5 type B,Cyb5b
154430,148960,176080,162210,186040,157520,165900,160070,171240,9,32.1,52.848,0,110.89,5208600000,24,Q68FY0,"Cytochrome b-c1 complex subunit 1, mitochondrial",Uqcrc1
193580,178290,218630,212300,240850,200760,219090,220250,229670,9,24.3,48.396,0,64.336,7801000000,29,P32551,"Cytochrome b-c1 complex subunit 2, mitochondrial",Uqcrc2
89545,83195,97337,101700,103650,94849,95980,99876,104100,3,37.1,10.424,0,30.186,2990200000,9,Q5M9I5,"Cytochrome b-c1 complex subunit 6, mitochondrial",Uqcrh
62276,47483,70915,58872,62904,75502,61556,56433,63401,5,46.3,9.8492,0,10.485,3396000000,12,Q7TQ16,Cytochrome b-c1 complex subunit 8,Uqcrq
38815,41802,46025,52824,54710,40145,47875,50270,55575,4,13.9,29.445,0,11.598,1192400000,7,P20788,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11",Uqcrfs1
188670,76626,195160,84044,92294,182100,213090,83621,91111,5,20.7,25.928,0,29.338,8027500000,16,P00406,Cytochrome c oxidase subunit 2,Mtco2
121220,98750,128940,122380,133450,128770,121530,119250,125410,7,34.9,19.514,0,14.371,15193000000,22,P10888,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",Cox4i1
116890,102710,124180,119170,133000,106030,111750,118220,125770,4,21.9,16.129,0,24.971,6012700000,15,P11240,"Cytochrome c oxidase subunit 5A, mitochondrial",Cox5a
163630,146820,172030,163420,182430,161880,161720,169200,178980,7,62,13.915,0,23.663,10339000000,20,P12075,"Cytochrome c oxidase subunit 5B, mitochondrial",Cox5b
28269,29708,29885,37059,38890,25952,33405,34017,36871,1,26.1,12.301,0,16.081,2560200000,4,P10818,"Cytochrome c oxidase subunit 6A1, mitochondrial",Cox6a1
29591,26998,31842,30970,33653,30485,30074,30326,33385,2,21.1,8.4548,0,3.2691,3181900000,6,P11951;P11950,Cytochrome c oxidase subunit 6C-2;Cytochrome c oxidase subunit 6C-1,Cox6c2;Cox6c1
8875.9,9618.8,11062,12052,12388,8547.5,10702,11591,11493,1,15.7,9.3529,0,3.0311,914820000,3,P35171,"Cytochrome c oxidase subunit 7A2, mitochondrial",Cox7a2
21213,10781,20702,13131,15364,28939,17461,13277,16536,1,14.3,7.3746,0,1.9136,107690000,1,P80432,"Cytochrome c oxidase subunit 7C, mitochondrial",Cox7c
182890,204930,232640,231500,276500,176830,286050,255930,249180,5,37.1,11.605,0,24.425,3762100000,19,P62898,"Cytochrome c, somatic",Cycs
17971,18526,18986,18850,26450,17323,16121,17706,22263,2,6.1,60.556,0,13.037,110870000,2,Q64678,Cytochrome P450 1B1,Cyp1b1
214200,180840,233900,203980,235960,258700,237250,226320,238350,11,22.5,98.126,0,59.621,2910600000,29,Q63270,Cytoplasmic aconitate hydratase,Aco1
1009900,947420,1048500,1008600,1179300,1056000,1052200,1019700,1134700,57,17.9,532.25,0,323.31,22694000000,135,P38650,Cytoplasmic dynein 1 heavy chain 1,Dync1h1
18123,14927,18510,17216,21058,20040,18678,17356,18788,2,9.1,71.177,0,23.015,227790000,2,Q62871,Cytoplasmic dynein 1 intermediate chain 2,Dync1i2
15161,13340,16297,16462,18586,14832,14064,15271,15677,1,3.6,56.792,0,8.1186,513920000,3,Q9QXU8,Cytoplasmic dynein 1 light intermediate chain 1,Dync1li1
17296,18313,22834,21320,25841,20343,20870,21724,22464,4,17.1,54.744,0,17.877,301810000,6,Q62698,Cytoplasmic dynein 1 light intermediate chain 2,Dync1li2
823910,680260,838520,767600,833960,740050,742230,722160,738950,23,57.6,56.149,0,172.42,18833000000,65,Q68FS4,Cytosol aminopeptidase,Lap3
573850,485670,635980,597960,700150,593620,583330,581870,659970,27,42,98.873,0,148.6,6443500000,53,P28037,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Aldh1l1
4069.8,2375.1,4001,3341,3850.2,4713,3338.8,3329.1,3348.9,1,2.9,42.735,0.0006435,1.8058,17719000,1,Q64559,Cytosolic acyl coenzyme A thioester hydrolase,Acot7
920680,432330,604250,516870,558180,711560,541910,496750,509700,16,52.8,52.693,0,158.61,9277400000,51,Q6Q0N1,Cytosolic non-specific dipeptidase,Cndp2
8615.5,7657.6,11491,9270.7,11465,9443.2,9742.5,10546,12421,1,3.7,58.804,0,17.488,335680000,3,P84850,"D-2-hydroxyglutarate dehydrogenase, mitochondrial",D2hgdh
497000,459040,526050,565730,549410,507580,546900,569460,540130,20,51.2,56.493,0,122.1,30313000000,65,O08651,D-3-phosphoglycerate dehydrogenase,Phgdh
175460,213410,252210,225050,257440,194390,262980,236350,262860,6,26.2,38.201,0,94.41,3235800000,23,P29147,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",Bdh1
10455,10785,15812,11259,14556,13532,33907,13279,16254,3,28,13.133,0,3.5964,181010000,3,P80254,D-dopachrome decarboxylase,Ddt
13124,14371,19046,16641,19059,16675,17890,19524,19650,2,18.6,29.821,0,13.751,177870000,3,Q8VID1,Dehydrogenase/reductase SDR family member 4,Dhrs4
5377.8,4921.9,6325.9,6102.4,7202.1,5636.1,5092.6,5212.1,7093.9,1,4.9,35.342,0,4.0231,22265000,1,Q5RJY4,Dehydrogenase/reductase SDR family member 7B,Dhrs7b
146550,161420,198120,201360,231850,154520,203720,218370,238470,11,38.2,36.171,0,48.027,8344400000,26,Q62651,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",Ech1
136460,102460,126470,133010,139980,152510,118390,132240,133910,9,18.1,61.868,0,31.431,1819600000,17,P0C2X9,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",Aldh4a1
8931.1,8656.9,9555.6,9135.2,11859,10188,11557,10227,12283,1,5.8,36.031,0,2.2671,333780000,2,P06214,Delta-aminolevulinic acid dehydratase,Alad
12631,8078.4,11189,9316.3,10722,15099,10637,8711,9984.3,1,4,33.076,0,3.3225,167890000,2,Q5PPJ4,Deoxyhypusine hydroxylase,Dohh
16825,14094,18918,15995,17063,19888,21412,17892,20206,1,4,38.175,0,3.1143,28351000,1,Q9QZK8,Deoxyribonuclease-2-alpha,Dnase2
248810,259700,262170,277740,328030,249030,255240,268380,294170,9,55.8,18.533,0,29.492,8051600000,34,Q7M0E3,Destrin,Dstn
162290,177130,186330,203840,217960,167660,205820,211130,222740,11,31.4,54.037,0,63.468,11165000000,31,Q6P6R2,"Dihydrolipoyl dehydrogenase, mitochondrial",Dld
259280,253950,326780,292030,335990,285780,308280,295670,310890,10,21.8,67.165,0,80.833,5427000000,35,P08461,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Dlat
113060,106430,123340,126280,143330,109010,125600,131850,134800,7,19.4,48.925,0,28.031,4982200000,20,Q01205,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Dlst
22129,14267,19493,18841,22023,23636,19856,18768,22387,1,6.6,25.552,0,12.827,112240000,1,P11348,Dihydropteridine reductase,Qdpr
68946,64366,80768,83306,89127,72786,81516,82932,91057,6,17.3,62.195,0,34.494,185780000,4,Q62950,Dihydropyrimidinase-related protein 1,Crmp1
2150000,1950200,1794700,2039100,2252100,1964400,1707600,1987900,2134900,29,69.8,62.277,0,323.31,95548000000,156,P47942,Dihydropyrimidinase-related protein 2,Dpysl2
764030,804160,919680,782500,1025600,818510,791270,737290,866000,20,52.8,61.967,0,145.09,16866000000,65,Q62952,Dihydropyrimidinase-related protein 3,Dpysl3
47755,46242,52547,50244,63861,49700,56900,54893,64800,3,13.5,61.085,0,27.026,994800000,7,Q62951,Dihydropyrimidinase-related protein 4,Dpysl4
57969,34388,62598,41232,48153,76658,51122,45793,51665,2,9.3,41.531,0,22.616,464060000,4,Q01460,Di-N-acetylchitobiase,Ctbs
61493,35540,54221,36037,46939,76445,50250,40496,49085,3,10.2,52.235,0,8.8659,1353700000,9,P80067,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,Ctsc
231300,216650,266650,229990,272130,256510,293850,252940,281460,7,20.8,55.114,0,52.84,3140600000,24,Q9EPB1,Dipeptidyl peptidase 2,Dpp7
93885,77785,94342,90075,104610,100160,89417,93684,98813,6,13.1,83.038,0,38.087,767140000,10,O55096,Dipeptidyl peptidase 3,Dpp3
58274,32058,49342,37883,43574,66596,44595,36765,41658,3,4.6,82.376,0,10.009,438380000,6,O88797,Disabled homolog 2,Dab2
8936,8164.1,12304,9839.9,11189,10150,10891,10227,10041,1,2.1,100.57,0,2.4699,122060000,2,Q62696,Disks large homolog 1,Dlg1
102430,93386,119960,103550,126850,123570,113720,114110,123860,11,9.1,126.86,0,19.892,1681300000,17,Q9ESW0,DNA damage-binding protein 1,Ddb1
3654,2096.8,3967.8,3098.4,3654.4,3820.5,4029.5,3060.3,3514.2,1,1.8,104.03,0,6.3612,14223000,2,P54275,DNA mismatch repair protein Msh2,Msh2
19525,13287,20543,16747,19911,22004,17057,16530,17289,1,1.3,123.6,0,8.654,118240000,4,O54747,DNA polymerase delta catalytic subunit,Pold1
0,0,0,0,0,0,0,0,0,1,1.4,153.78,0,6.6639,0,1,Q9JIL8,DNA repair protein RAD50,Rad50
1334.6,1919.9,2518.5,2240.3,2263.8,1893,2086.9,2327,2148.4,1,2.7,68.835,0,3.4579,30230000,2,Q9ESZ0,DNA repair protein XRCC1,Xrcc1
9339.8,4287,8725.3,4709,6229.4,13754,7636.4,5881,6156.2,1,2.4,57.369,0,3.142,31412000,2,Q62724,DNA replication licensing factor MCM6,Mcm6
100010,91847,109020,108520,116830,98614,101840,98115,105320,4,6.1,90.759,0,14.71,1023500000,10,Q9WUL0,DNA topoisomerase 1,Top1
94655,96062,105220,118790,127290,92479,126230,125780,127910,6,30.6,35.538,0,24.135,2348900000,16,P43138,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",Apex1
4467.3,4007,5722.4,5377.7,5173.7,4612.2,5335.7,5895.9,5927.5,1,20.5,14.464,0,3.8281,55284000,2,O88828,"DNA-directed RNA polymerases I, II, and III subunit RPABC2",Polr2f
212370,183410,243470,212540,244290,203280,200170,195440,208420,6,27.7,44.868,0,61.986,1988100000,19,P63036,DnaJ homolog subfamily A member 1,Dnaja1
126770,117040,135010,136750,156030,123400,136200,136020,151340,6,20.1,45.765,0,31.872,2155500000,19,O35824,DnaJ homolog subfamily A member 2,Dnaja2
11507,11580,11852,14501,14609,11439,15580,14121,13538,1,1.3,90.746,0,2.3867,68998000,3,Q498R3,DnaJ homolog subfamily C member 10,Dnajc10
17600,20064,19580,21328,24948,16128,20802,20994,24089,1,11.5,29.812,0,15.771,96570000,2,Q642C0,DnaJ homolog subfamily C member 8,Dnajc8
112100,94180,121360,107210,114720,126750,109080,101650,107350,7,15.4,48.895,0,15.897,4018800000,19,Q641Y0,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Ddost
260790,239210,247210,267020,298260,241080,264640,248680,290320,14,27.9,68.303,0,64.017,6579500000,31,P07153,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Rpn1
115820,110070,132320,124340,130990,122780,139310,120000,126340,7,16,69.077,0,57.92,1870000000,20,P25235,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,Rpn2
24915,12003,26437,30416,57078,5704.4,4991.1,4440.4,7628.1,1,1.9,62.681,0.0031606,1.5315,233650000,1,Q68SB1,Double-stranded RNA-binding protein Staufen homolog 2,Stau2
67330,72373,78966,74665,97465,67398,74117,79338,90084,5,12.9,77.471,0,39.953,924780000,8,Q07266,Drebrin,Dbn1
438490,326660,395510,364080,384350,370510,327870,298200,336010,6,22,48.612,0,111.29,2177300000,19,Q9JHL4,Drebrin-like protein,Dbnl
145460,106090,127120,108570,124240,117590,92769,89904,91808,5,18.3,43.465,0,12.454,838050000,9,Q01986,Dual specificity mitogen-activated protein kinase kinase 1,Map2k1
80305,62509,81147,65056,78964,87088,74845,65682,74954,5,6.5,141.93,0,23.348,744580000,10,P28023,Dynactin subunit 1,Dctn1
252200,261010,286770,289040,325160,253820,277510,277850,312300,12,41,44.147,0,69.541,3823100000,29,Q6AYH5,Dynactin subunit 2,Dctn2
202040,172530,210970,192880,228570,215110,198960,201070,227990,8,18,83.907,0,94.469,3028600000,28,O35303,Dynamin-1-like protein,Dnm1l
236000,185430,233300,217570,250900,240990,231730,222090,243540,11,13.7,98.229,0,26.945,1771400000,24,P39052,Dynamin-2,Dnm2
22212,22626,26795,24096,27168,22270,21907,24912,27029,2,5.2,111.31,0,22.799,287940000,6,Q2TA68,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",Opa1
25025,22158,28266,23705,26415,13916,14040,13344,13433,3,1,357.24,0.0019169,1.7209,808720000,3,Q923J6,"Dynein heavy chain 12, axonemal",Dnah12
52248,53713,56049,56942,63016,49824,54306,54514,61341,3,47.2,10.366,0,21.695,4763500000,9,P63170,"Dynein light chain 1, cytoplasmic",Dynll1
19580,16579,26237,21910,25191,22272,26293,21850,21703,2,21.3,10.35,0.0019084,1.6571,412500000,3,Q78P75,"Dynein light chain 2, cytoplasmic",Dynll2
22767,18519,26583,19196,23687,24330,24311,21770,24271,2,29.2,10.99,0,30.295,805270000,5,P62628,Dynein light chain roadblock-type 1,Dynlrb1
51295,50634,55093,57033,62378,52499,55772,58387,60717,1,15.9,12.452,0,9.9498,743270000,4,Q9Z336,Dynein light chain Tctex-type 1,Dynlt1
26380,25402,32239,26397,32707,26856,32039,28275,31767,1,1.8,73.877,0,7.2333,143590000,2,P84060,Dystrobrevin beta,Dtnb
50330,57012,61653,58286,69969,51427,59708,57078,67609,4,1.7,425.82,0,17.059,600360000,6,P11530,Dystrophin,Dmd
12925,10186,9945.1,11705,13586,13253,11804,13337,12521,1,1.4,104.65,0,2.234,95491000,3,Q8K4S7,E3 ubiquitin-protein ligase CBL-B,Cblb
220980,219600,261370,252630,312750,242150,272240,294630,300930,8,13.1,102.39,0,37.346,1416500000,18,Q62940,E3 ubiquitin-protein ligase NEDD4,Nedd4
27515,23516,25600,29919,31383,30602,30762,27240,30136,1,1.7,63.892,0,2.5248,173300000,4,P36407,E3 ubiquitin-protein ligase TRIM23,Trim23
20667,24656,25227,26066,30224,22759,33568,29636,33577,2,8.2,79.205,0,16.415,207270000,4,Q91ZY8,E3 ubiquitin-protein ligase TRIM9,Trim9
